Apple	apple	アップル,あっぷる,APPLE,Apple Inc.
Microsoft	microsoft	マイクロソフト,MS,MSFT
Google	google	グーグル,Alphabet
Amazon	amazon	アマゾン,Amazon.co.jp
Meta	meta	Facebook,フェイスブック,Meta Platforms

Dell	dell	デル,DELL
HP	hp	ヒューレットパッカード,Hewlett-Packard
Lenovo	lenovo	レノボ
ASUS	asus	エイスース,アスース
Acer	acer	エイサー
MSI	msi	エムエスアイ
Razer	razer	レイザー
LG	lg	エルジー
Samsung	samsung	サムスン
Huawei	huawei	ファーウェイ
Xiaomi	xiaomi	シャオミ
Google Pixel	pixel	Pixel,ピクセル

Intel	intel	インテル
AMD	amd	エーエムディー
NVIDIA	nvidia	エヌビディア
Qualcomm	qualcomm	クアルコム

Sony	sony	ソニー
Panasonic	panasonic	パナソニック
Sharp	sharp	シャープ
Toshiba	toshiba	東芝
Dynabook	dynabook	ダイナブック
Hitachi	hitachi	日立
Mitsubishi Electric	mitsubishi electric	三菱電機
Fujitsu	fujitsu	富士通
NEC	nec	日本電気
VAIO	vaio	バイオ
Pioneer	pioneer	パイオニア
Yamaha	yamaha	ヤマハ
Denon	denon	デノン
Marantz	marantz	マランツ
Onkyo	onkyo	オンキヨー
JVC	jvc	ジェイブイシー,ビクター,Victor
Kenwood	kenwood	ケンウッド
Epson	epson	エプソン,セイコーエプソン
Canon	canon	キヤノン
Nikon	nikon	ニコン
Ricoh	ricoh	リコー
Olympus	olympus	オリンパス,OM SYSTEM
OM SYSTEM	om system	OM-1
Brother	brother	ブラザー
Konica Minolta	konica minolta	コニカミノルタ

Dyson	dyson	ダイソン
Philips	philips	フィリップス
Braun	braun	ブラウン（家電）
Bosch	bosch	ボッシュ
Siemens	siemens	ジーメンス
Miele	miele	ミーレ
Electrolux	electrolux	エレクトロラックス
Haier	haier	ハイアール
Hisense	hisense	ハイセンス
TCL	tcl	TCL

Daikin	daikin	ダイキン
Fujitsu General	fujitsu general	富士通ゼネラル
Iris Ohyama	iris ohyama	アイリスオーヤマ
Zojirushi	zojirushi	象印
Tiger	tiger	タイガー魔法瓶
Thermos	thermos	サーモス
T-fal	t-fal	ティファール
KitchenAid	kitchenaid	キッチンエイド
Le Creuset	le creuset	ルクルーゼ
Staub	staub	ストウブ
WMF	wmf	ヴェーエムエフ
OXO	oxo	オクソー
HARIO	hario	ハリオ
Kalita	kalita	カリタ
DeLonghi	delonghi	デロンギ
Nespresso	nespresso	ネスプレッソ

MUJI	muji	無印良品
UNIQLO	uniqlo	ユニクロ
GU	gu	ジーユー
ZARA	zara	ザラ
H&M	h&m	エイチアンドエム
Nike	nike	ナイキ
Adidas	adidas	アディダス
PUMA	puma	プーマ
Reebok	reebok	リーボック
New Balance	new balance	ニューバランス
ASICS	asics	アシックス
On	on	オン（シューズ）,On Running
Converse	converse	コンバース
Vans	vans	ヴァンズ
The North Face	the north face	ノースフェイス
Patagonia	patagonia	パタゴニア
Arc'teryx	arcteryx	アークテリクス
Columbia	columbia	コロンビア
Moncler	moncler	モンクレール

Louis Vuitton	louis vuitton	ルイヴィトン,LV
Gucci	gucci	グッチ
Prada	prada	プラダ
Chanel	chanel	シャネル
Hermès	hermes	エルメス
Dior	dior	ディオール
Saint Laurent	saint laurent	YSL,サンローラン
Balenciaga	balenciaga	バレンシアガ
Burberry	burberry	バーバリー
Coach	coach	コーチ
Michael Kors	michael kors	マイケルコース
Kate Spade	kate spade	ケイトスペード
TUMI	tumi	トゥミ
Samsonite	samsonite	サムソナイト
PORTER	porter	ポーター,吉田カバン,Yoshida & Co.
Anello	anello	アネロ

Tiffany & Co.	tiffany	ティファニー
Cartier	cartier	カルティエ
Bvlgari	bvlgari	ブルガリ
Van Cleef & Arpels	van cleef	ヴァンクリーフ,ヴァンクリ
Swarovski	swarovski	スワロフスキー
Pandora	pandora	パンドラ
MIKIMOTO	mikimoto	ミキモト
TASAKI	tasaki	タサキ
Harry Winston	harry winston	ハリーウィンストン

Rolex	rolex	ロレックス
Omega	omega	オメガ
Seiko	seiko	セイコー
Grand Seiko	grand seiko	グランドセイコー
Citizen	citizen	シチズン
Casio	casio	カシオ,G-SHOCK,G-Shock
TAG Heuer	tag heuer	タグホイヤー
IWC	iwc	IWC Schaffhausen
Breitling	breitling	ブライトリング
Panerai	panerai	パネライ
Hublot	hublot	ウブロ
Patek Philippe	patek philippe	パテックフィリップ
Audemars Piguet	audemars piguet	オーデマピゲ
